Type;Medium;Title;Year;Director;Seen;Franchise;Franchise Complete;Length;Genre;Cast;Crew
Movie;DVD;Indiana Jones and the Kingdom of the Crystal Skull;2008;Steven Spielberg;YES;YES;YES;117;;;
Movie;DVD;Indiana Jones and the Last Crucade;1989;Steven Spielberg;YES;YES;YES;122;;;
Movie;DVD;Indiana Jones and the Temple of Doom;1984;Steven Spielberg;YES;YES;YES;114;;;
Movie;DVD;Inside Out;2015;Pete Docter;YES;NO;;91;;;
Movie;DVD;Instant Family;2018;Sean Anders;YES;NO;;113;;;
Movie;DVD;Insurgent;2015;Robert Schwentke;YES;YES;YES;115;;;
Movie;DVD;Into the Woods;2014;Rob Marshall;YES;NO;;120;;;
Movie;DVD;Isle of Dogs;2018;Wes Anderson;YES;NO;;97;;;
Movie;DVD;Jackie;2016;Pablo Larrain;YES;NO;;96;;;
Movie;BluRay;John Williams: Live in Vienna;2020;Michael Beyer;NO;NO;;155;;;
Movie;DVD;Johnny English;2003;Peter Howitt;YES;YES;YES;84;;;
Movie;DVD;Johnny English Reborn;2011;Oliver Parker;YES;YES;YES;97;;;
Movie;DVD;Jojo Rabbit;2019;Taika Waititi;YES;NO;;108;;;
Movie;BluRay;Joker;2019;Todd Phillips;YES;NO;;122;;;
Movie;DVD;Journey to the Center of the Earth;2008;Eric Brevig;YES;YES;NO;89;;;
Movie;DVD;Judas and the Black Messiah;2021;Shaka King;YES;NO;;120;;;
Movie;DVD;Jumanji: Welcome to the Jungle;2017;Jake Kasdan;YES;YES;NO;114;;;
Movie;DVD;Jumper;2008;Doug Liman;YES;NO;;85;;;
Movie;DVD;Jurassic Park;1993;Steven Spielberg;YES;YES;YES;127;;;
Movie;DVD;Jurassic Park III;2001;Joe Johnston;YES;YES;YES;96;;;
Movie;DVD;Jurassic World;2015;Colin Trevorrow;YES;YES;YES;124;;;
Movie;BluRay;Jurassic World: Dominion;2022;Colin Trevorrow;YES;YES;YES;148;;;
Movie;BluRay;Jurassic World: Fallen Kingdom;2018;J.A. Bayona;YES;YES;YES;129;;;
Movie;BluRay;Justice League;2017;Zack Snyder;YES;NO;;120;;;
Series;DVD;Killing Eve [Season 1];2018;Pheobe Waller Bridge;YES;YES;YES;42;;;
Series;DVD;Killing Eve [Season 2];2019;Pheobe Waller Bridge;YES;YES;YES;42;;;
Series;DVD;Killing Eve [Season 3];2020;Pheobe Waller Bridge;YES;YES;YES;42;;;
Series;DVD;Killing Eve [Season 4];2022;Pheobe Waller Bridge;YES;YES;YES;42;;;
Movie;DVD;Kingsman: The Golden Circle;2017;Matthew Vaughn;YES;YES;NO;135;;;
Movie;DVD;Kingsman: The Secret Service;2014;Matthew Vaughn;YES;YES;NO;123;;;
Movie;BluRay;Knives Out;2019;Rian Johnson;YES;NO;;131;;;
Movie;BluRay;Kong: Skull Island;2017;Jordan Vogt-Roberts;NO;NO;;118;;;
Movie;BluRay, DVD;La La Land;2016;Damien Chazelle;YES;NO;;123;;;
Movie;DVD;Lady Bird;2017;Greta Gerwig;YES;NO;;90;;;
Movie;DVD;Last Christmas;2019;Paul Feig;YES;NO;;98;;;
Movie;DVD;Late Night;2019;Nisha Ganatra;YES;NO;;97;;;
Movie;BluRay;Life of Pi;2012;Ang Lee;YES;NO;;127;;;
Movie;BluRay;Lion;2016;Garth Davis;YES;NO;;119;;;
Movie;DVD;Little Miss Sunshine;2006;Jonathan Dayton, Valerie Faris;YES;NO;;99;;;
Movie;DVD;Looper;2012;Rian Johnson;YES;NO;;114;;;
Movie;DVD;Lost in Translation;2004;Sofia Coppola;NO;NO;;97;;;
Movie;DVD;Ma;2019;Tate Taylor;YES;NO;;95;;;
